交易时间,公众账号ID,商户号,子商户号,设备号,微信订单号,商户订单号,用户标识,交易类型,交易状态,付款银行,货币种类,总金额,企业红包金额,微信退款单号,商户退款单号,退款金额,企业红包退款金额,退款类型,退款状态,商品名称,商户数据包,手续费,费率
`2015-11-14 23:21:47,`wx1e3b3a3f6aab0ebf,`1267070601,`0,`,`1000200548201511141606778961,`o1220,`oC1U4twVtKErB00dLdUoBi6fbQd4,`JSAPI,`SUCCESS,`ABC_DEBIT,`CNY,`6.00,`0.00,`0,`0,`0,`0,`,`,`储油充值,`,`0.04000,`0.60%
`2015-11-14 09:38:45,`wx1e3b3a3f6aab0ebf,`1267070601,`0,`,`1000300548201511141594311594,`o1089,`oC1U4tzxQtoMF6fDwaGVrrV_xs-U,`JSAPI,`SUCCESS,`CEB_CREDIT,`CNY,`100.00,`0.00,`0,`0,`0,`0,`,`,`储油充值,`,`0.60000,`0.60%
`2015-11-14 14:15:46,`wx1e3b3a3f6aab0ebf,`1267070601,`0,`,`1000680548201511141598673052,`o1139,`oC1U4t0UKCBhTgMnqSBtKzpw-Jlg,`JSAPI,`SUCCESS,`ICBC_DEBIT,`CNY,`100.00,`0.00,`0,`0,`0,`0,`,`,`储油充值,`,`0.60000,`0.60%
`2015-11-14 21:53:10,`wx1e3b3a3f6aab0ebf,`1267070601,`0,`,`1001160548201511141605880281,`o1196,`oC1U4t6NytNDMgFq7oJmJi_yGGMk,`JSAPI,`SUCCESS,`CMB_CREDIT,`CNY,`100.00,`0.00,`0,`0,`0,`0,`,`,`储油充值,`,`0.60000,`0.60%
`2015-11-14 21:54:09,`wx1e3b3a3f6aab0ebf,`1267070601,`0,`,`1001160548201511141605900843,`o1197,`oC1U4t6NytNDMgFq7oJmJi_yGGMk,`JSAPI,`SUCCESS,`CMB_CREDIT,`CNY,`55.00,`0.00,`0,`0,`0,`0,`,`,`储油充值,`,`0.33000,`0.60%
`2015-11-14 22:02:31,`wx1e3b3a3f6aab0ebf,`1267070601,`0,`,`1001160548201511141606002418,`o1203,`oC1U4t6NytNDMgFq7oJmJi_yGGMk,`JSAPI,`SUCCESS,`CMB_CREDIT,`CNY,`30.00,`0.00,`0,`0,`0,`0,`,`,`储油充值,`,`0.18000,`0.60%
`2015-11-14 06:38:05,`wx1e3b3a3f6aab0ebf,`1267070601,`0,`,`1001300548201511141593344559,`o1061,`oC1U4t9imCiFNU1BPdMmalGH1hXE,`JSAPI,`SUCCESS,`CFT,`CNY,`3.00,`0.00,`0,`0,`0,`0,`,`,`储油充值,`,`0.02000,`0.60%
`2015-11-14 13:59:54,`wx1e3b3a3f6aab0ebf,`1267070601,`0,`,`1001440548201511141598436923,`o1134,`oC1U4t9iKtXnzSZloDlET2GF5XaA,`JSAPI,`SUCCESS,`CFT,`CNY,`1.00,`0.00,`0,`0,`0,`0,`,`,`储油充值,`,`0.01000,`0.60%
`2015-11-14 00:50:39,`wx1e3b3a3f6aab0ebf,`1267070601,`0,`,`1002190548201511141592791684,`o1042,`oC1U4t5i1z3ff_RA6OFs-x4xqUsk,`JSAPI,`SUCCESS,`BOC_DEBIT,`CNY,`19.00,`0.00,`0,`0,`0,`0,`,`,`储油充值,`,`0.11000,`0.60%
`2015-11-14 22:50:50,`wx1e3b3a3f6aab0ebf,`1267070601,`0,`,`1002240548201511141606522007,`o1210,`oC1U4tyfPZlazt0p_xFHN9f6_EIw,`JSAPI,`SUCCESS,`CFT,`CNY,`500.00,`0.00,`0,`0,`0,`0,`,`,`储油充值,`,`3.00000,`0.60%
